Start,End,Iteration,Used Memory
1682170313,1682170377,1,0.10
1682170377,1682170444,1,0.15
1682170444,1682170508,1,0.20
1682170508,1682170572,1,0.25
1682170572,1682170637,1,0.30
1682170637,1682170701,1,0.35
1682170701,1682170766,1,0.40
1682170766,1682170830,1,0.45
1682170830,1682170895,1,0.50
1682170895,1682170960,1,0.55
1682170960,1682171024,1,0.60
1682171024,1682171089,1,0.65
1682171089,1682171154,1,0.70
1682171154,1682171219,1,0.75
1682171219,1682171284,1,0.80
1682171284,1682171349,1,0.85
1682171349,1682171415,1,0.90
1682171415,1682171481,1,0.95
1682171481,1682171551,1,1.00
