timestamp,robot_count
1684298733,3
1684298736,25
1684298740,25
1684298743,25
1684298746,25
1684298749,25
1684298753,25
1684298756,25
1684298759,25
1684298762,25
1684298766,25
1684298769,25
1684298772,25
1684298776,25
1684298779,25
1684298782,25
1684298785,25
1684298788,25
1684298792,25
1684298795,25
1684298798,27
1684298802,28
1684298805,29
1684298808,29
1684298811,29
1684298814,30
1684298818,30
1684298821,30
1684298824,31
1684298828,34
1684298831,37
1684298834,37
1684298837,37
1684298841,39
1684298844,39
1684298847,40
1684298850,40
1684298854,40
1684298857,41
1684298860,44
1684298864,46
1684298867,47
1684298870,47
1684298873,47
1684298877,47
1684298880,49
1684298883,49
1684298886,50
1684298890,50
1684298893,53
1684298897,54
1684298900,54
1684298903,55
1684298907,56
1684298910,58
1684298913,58
1684298916,58
1684298920,59
1684298923,62
1684298927,63
1684298930,66
1684298933,66
1684298937,65
1684298940,66
1684298943,68
1684298947,71
1684298950,71
1684298954,73
1684298957,77
1684298960,77
1684298964,78
1684298967,78
1684298971,79
1684298975,79
1684298978,80
1684298982,80
1684298985,83
1684298989,84
1684298993,85
1684298997,85
1684299000,89
1684299004,89
1684299007,89
1684299011,92
1684299015,94
1684299018,95
1684299022,96
1684299025,96
1684299029,98
1684299033,99
1684299036,101
1684299040,104
1684299044,105
1684299048,110
1684299052,109
1684299056,113
1684299060,115
1684299064,115
1684299067,115
1684299071,115
1684299075,116
1684299079,116
1684299083,119
1684299087,124
1684299091,124
1684299095,124
1684299099,124
1684299102,124
1684299106,125
1684299110,125
1684299114,125
1684299118,126
1684299123,127
1684299127,126
1684299131,126
1684299136,128
1684299139,128
1684299143,127
1684299147,127
1684299151,127
1684299156,127
1684299160,129
1684299164,129
1684299168,128
1684299173,127
1684299177,127
1684299180,127
1684299185,125
1684299189,126
1684299193,126
1684299198,126
1684299203,127
1684299207,126
1684299211,125
1684299215,125
1684299219,125
1684299223,125
1684299227,123
1684299231,123
1684299235,123
1684299240,123
1684299245,122
1684299249,122
1684299253,122
1684299257,121
1684299260,121
1684299265,120
1684299269,119
1684299273,119
1684299277,119
1684299282,117
1684299286,115
1684299291,115
1684299294,114
1684299298,114
1684299302,111
1684299306,110
1684299311,110
1684299316,110
1684299320,109
1684299325,109
1684284471,2
1684284474,25
1684284478,25
1684284481,25
1684284484,25
1684284487,25
1684284491,25
1684284494,25
1684284497,25
1684284500,25
1684284503,25
1684284507,25
1684284510,25
1684284513,25
1684284517,25
1684284520,26
1684284523,26
1684284526,26
1684284529,26
1684284533,26
1684284536,26
1684284539,26
1684284542,27
1684284546,30
1684284549,30
1684284552,30
1684284555,30
1684284559,31
1684284562,31
1684284565,31
1684284568,32
1684284572,33
1684284575,33
1684284578,34
1684284581,34
1684284585,36
1684284588,36
1684284591,36
1684284594,37
1684284598,39
1684284601,39
1684284604,39
1684284607,40
1684284611,40
1684284614,42
1684284617,43
1684284620,43
1684284624,44
1684284627,44
1684284630,46
1684284633,46
1684284637,47
1684284640,48
1684284644,49
1684284647,51
1684284650,52
1684284653,53
1684284657,53
1684284660,53
1684284663,53
1684284667,54
1684284670,56
1684284673,59
1684284677,60
1684284680,62
1684284683,65
1684284687,66
1684284690,69
1684284694,69
1684284697,69
1684284700,70
1684284704,70
1684284708,73
1684284712,75
1684284715,77
1684284719,79
1684284723,80
1684284726,80
1684284729,82
1684284733,83
1684284737,83
1684284740,83
1684284744,85
1684284748,89
1684284752,96
1684284756,99
1684284760,99
1684284763,101
1684284767,101
1684284770,101
1684284774,102
1684284777,103
1684284781,105
1684284785,108
1684284790,112
1684284794,116
1684284798,116
1684284801,118
1684284805,119
1684284809,122
1684284813,122
1684284817,122
1684284821,127
1684284825,129
1684284829,128
1684284833,128
1684284837,131
1684284841,131
1684284845,131
1684284850,133
1684284854,133
1684284858,134
1684284862,132
1684284866,133
1684284870,134
1684284874,134
1684284878,133
1684284882,134
1684284887,135
1684284891,134
1684284895,133
1684284899,133
1684284904,132
1684284908,134
1684284912,132
1684284916,131
1684284920,130
1684284924,130
1684284928,128
1684284933,128
1684284938,128
1684284941,126
1684284946,126
1684284950,126
1684284954,125
1684284958,125
1684284961,124
1684284966,122
1684284970,122
1684284975,122
1684284980,122
1684284984,121
1684284988,121
1684284993,119
1684284997,118
1684285000,116
1684285005,116
1684285009,115
1684285014,114
1684285018,114
1684285023,113
1684285027,113
1684285031,112
1684285036,112
1684285039,111
1684285043,110
1684285047,109
1684285052,109
1684285056,108
1684285060,107
1684285065,107
1684271831,2
1684271834,25
1684271837,25
1684271840,25
1684271844,25
1684271847,25
1684271850,25
1684271853,25
1684271856,25
1684271860,25
1684271863,25
1684271867,27
1684271870,27
1684271873,27
1684271876,27
1684271879,27
1684271882,27
1684271886,27
1684271889,27
1684271892,27
1684271896,28
1684271899,29
1684271902,30
1684271905,30
1684271908,31
1684271912,31
1684271915,31
1684271918,31
1684271921,33
1684271925,34
1684271928,37
1684271931,39
1684271934,39
1684271938,39
1684271941,39
1684271944,40
1684271947,41
1684271951,42
